oos_year,winner_id,side,lookback_col,top_pct,rebalance_days,oos_sharpe,oos_cagr,oos_max_dd,bench_sharpe,bench_cagr
2014,lo_093,long_only,mom_63d,0.05,42,1.2287349442517999,0.23591710994105575,-0.12457658714559783,1.376732602514903,0.18119664315903994
2015,lo_093,long_only,mom_63d,0.05,42,0.4373778603231638,0.06601521862637783,-0.12448297578488798,0.23222499173936142,0.024131548910651945
2016,lo_093,long_only,mom_63d,0.05,42,1.2675121051763747,0.24343207783044707,-0.1301375340800215,1.1500788131182804,0.18673329310654485
2017,lo_093,long_only,mom_63d,0.05,42,1.814763832170836,0.28310544283439776,-0.06713327361884458,3.09230445008914,0.23953393612154739
2018,lo_093,long_only,mom_63d,0.05,42,0.8480653797862172,0.17306267201739245,-0.19824037691627383,-0.1991760634933933,-0.04898859325019422
2019,lo_093,long_only,mom_63d,0.05,42,1.5999274191022936,0.2748699222513382,-0.11317157175211745,2.3173918791971113,0.3310179196747187
2020,lo_093,long_only,mom_63d,0.05,42,0.9404834995216425,0.3186758019138456,-0.3897947230012624,0.674780994868534,0.19614970849714575
2021,lo_093,long_only,mom_63d,0.05,42,1.3515249259198794,0.3512673872967904,-0.11866268769842692,2.0343132296083954,0.3278313361557008
2022,lo_093,long_only,mom_63d,0.05,42,-0.8976249269252939,-0.2687493102186749,-0.3090015982977382,-0.38962268597412053,-0.11514400025402982
2023,lo_124,long_only,mom_126d,0.05,63,1.822988934784475,0.478724372480684,-0.16676766171282476,1.3993384428881381,0.21118557270236438
2024,lo_124,long_only,mom_126d,0.05,63,2.087396496003018,0.7321929500375888,-0.2045263905135839,1.4356755188185315,0.180072729541227
2025,lo_124,long_only,mom_126d,0.05,63,1.1196120033152113,0.4085223115994314,-0.3053483613903262,0.8175804876654567,0.14241150185639917
